OBJECT_ID;OBJECT_NAME;Source Name;ProtocolType;TermSourceREF(DPBO:1000161);TermAccessionNumber(DPBO:1000161);ProtocolREF;Parameter[OperationMode];TermSourceREF(MS:1000465);TermAccessionNumber(MS:1000465);Parameter[IndicatedMagnification];TermSourceREF(MS:1000501?);TermAccessionNumber(MS:1000501?);Parameter[Voltage];Unit;TermSourceREF(MS:1000015);TermAccessionNumber(MS:1000013?);TermSourceREF(MS:1000500);TermAccessionNumber(MS:1000500?);Parameter[scanrate];Unit;TermSourceREF(MS:1000015);TermAccessionNumber(MS:1000015?);Data File Name
;8000X_HeLa 604 8894__0002.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;8000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;1.362;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;8000X_HeLa 604 8894__0002.dm4
;5000X_HeLa 604 8894__0008.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;5000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;2.17;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;5000X_HeLa 604 8894__0008.dm4
;3000X_HeLa 604 8894__0001.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;3000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;3.6;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;3000X_HeLa 604 8894__0001.dm4
;25kX_HeLa 604 8894__0007.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;25000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.501;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;25kX_HeLa 604 8894__0007.dm4
;25kX_HeLa 604 8894__0003.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;25000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.501;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;25kX_HeLa 604 8894__0003.dm4
;20kX_HeLa 604 8894__0009.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;20000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.6155;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;20kX_HeLa 604 8894__0009.dm4
;20kX_HeLa 604 8894__0005.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;20000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.6155;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;20kX_HeLa 604 8894__0005.dm4
;20kX_HeLa 604 8894__0004.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;20000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.6155;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;20kX_HeLa 604 8894__0004.dm4
;15kX_HeLa 604 8894__0006.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;15000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.8;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;15kX_HeLa 604 8894__0006.dm4
;12kX_HeLa 604 8894__0011.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;12000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;0.969923;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;12kX_HeLa 604 8894__0011.dm4
;10kX_HeLa 604 8894__0010.dm4;8894;assay protocol;DPBO;http://purl.obolibrary.org/obo/DPBO_1000177;image_acquisition.md;IMAGING;user-specific;user-specific;10000;user-specific;user-specific;80000;V;UO;http://purl.obolibrary.org/obo/UO_0000218;user-specific;user-specific;1.13;nm;UO;http://purl.obolibrary.org/obo/UO_0000018;10kX_HeLa 604 8894__0010.dm4
